type,num,F1,F2,F3
Circles,01,-0.7422319685868546,-0.6229606168617521,-0.8390495532465057
Circles,02,0.48365360491524567,0.03518170996391479,0.9515469548469961
Circles,03,-0.7158581841332162,-0.3421724677204068,-1.178038298226725
Circles,04,0.5188397232004581,-0.6952346303112522,0.025052391119706946
Circles,05,-0.3810630162019533,0.8826954721237998,-0.797972169327506
Circles,06,-0.7502851908486767,0.22367719388088292,-1.2743221808292469
Circles,07,-0.13742242916433678,0.5959068936486526,-1.2205956454439548
Circles,08,-0.9877046090366037,-0.9751956605585494,-0.5200464550646338
Circles,09,-0.4743086089715817,-1.1423488248367302,-0.19023113000427427
Circles,10,-0.7583536858828404,-1.1175509144856124,0.21625785078622684
Squares,01,-0.08177192045439627,-0.6040068574474925,0.8767966596108411
Squares,02,2.0140937574811875,-0.8602072156451419,-1.5210155465697208
Squares,03,-1.0277346496218465,1.7671759685465898,0.7462151133196936
Squares,04,-1.1772994318899825,0.6853985732668583,1.860301298890678
Squares,05,1.3368458861473358,0.6198043956057947,-0.48436360295389913
Squares,06,0.27554264363870357,1.1928134830104848,-0.8531256222659742
Squares,07,0.1886844674496418,3.240009709843278,-0.723621809602343
Squares,08,-0.03314618393644586,-0.4389462858521949,2.461218124081393
Squares,09,-0.8309671207469442,1.3056731037479201,0.895773798503042
Squares,10,0.7037925360264845,-0.2552627140234853,0.4586480735349081
Triangl,01,2.426768761747235,-0.5696504510841504,1.2215028355716515
Triangl,02,-1.029406119862995,-1.2262486566785566,-0.6784953250418833
Triangl,03,-0.7954825884320025,-1.0816160712323877,-0.128709366348579
Triangl,04,0.0354088725515066,0.42198487654560934,-0.924731957322765
Triangl,05,1.1503183837469524,0.447739938405436,0.35759371283584707
Triangl,06,1.3326113021955301,0.21299921971574476,0.52063800696898
Triangl,07,1.3250686798298297,-0.35722008293206087,0.3751779595142468
Triangl,08,0.41018604883488213,-0.6954679452721358,-0.9623578915736178
Triangl,09,-0.8774387924663112,-0.08493569951459173,1.3956133000625741
Triangl,10,-1.401340167528005,-0.5620354438484592,-0.06565952582516643
